epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,29015.7,0.82753,1.00012,2.13025,0.9418,0.89435,0.95855,0.76743,0.70761,0.45486,2.62934,0.003565,0.003565,0.003565
67,29449.7,0.82948,0.99286,2.12904,0.94086,0.89661,0.95882,0.76757,0.70654,0.45298,2.6293,0.003466,0.003466,0.003466
68,29881.3,0.82654,0.98379,2.13333,0.94311,0.8948,0.95935,0.76787,0.70551,0.45109,2.62835,0.003367,0.003367,0.003367
69,30317.6,0.81911,0.97623,2.11613,0.9419,0.89742,0.95966,0.76989,0.70471,0.44922,2.62936,0.003268,0.003268,0.003268
70,30750.8,0.82396,0.99441,2.13497,0.93871,0.90099,0.96039,0.77047,0.70392,0.44753,2.62921,0.003169,0.003169,0.003169
71,31186.9,0.81829,0.97535,2.11569,0.93957,0.90226,0.96073,0.77086,0.703,0.4459,2.62981,0.00307,0.00307,0.00307
72,31618.7,0.81762,0.97635,2.12339,0.93902,0.90329,0.96094,0.77201,0.702,0.44447,2.62937,0.002971,0.002971,0.002971
73,32053.2,0.81175,0.96835,2.11747,0.94079,0.90312,0.96115,0.77226,0.7013,0.44312,2.62959,0.002872,0.002872,0.002872
74,32485.2,0.80865,0.96096,2.11929,0.93314,0.91232,0.96152,0.77275,0.70063,0.44186,2.62984,0.002773,0.002773,0.002773
75,32920,0.81176,0.9532,2.11305,0.93392,0.91166,0.96186,0.77337,0.69962,0.44045,2.62926,0.002674,0.002674,0.002674
76,33353.7,0.80758,0.95591,2.10582,0.93547,0.91157,0.96245,0.77382,0.69879,0.43904,2.62966,0.002575,0.002575,0.002575
77,33787.2,0.79763,0.94836,2.10917,0.93429,0.91756,0.9628,0.77478,0.69781,0.43767,2.62974,0.002476,0.002476,0.002476
78,34219,0.79728,0.9447,2.10232,0.93782,0.91068,0.96292,0.77497,0.69705,0.43632,2.63072,0.002377,0.002377,0.002377
79,34653.6,0.79507,0.94823,2.09719,0.94148,0.90875,0.96312,0.77542,0.69638,0.43501,2.6315,0.002278,0.002278,0.002278
80,35086.8,0.79392,0.93124,2.09804,0.94246,0.90902,0.96337,0.77598,0.69564,0.43364,2.6318,0.002179,0.002179,0.002179
81,35521.2,0.78814,0.93337,2.09228,0.94205,0.91004,0.96341,0.77692,0.69489,0.43235,2.63182,0.00208,0.00208,0.00208
82,35955.1,0.7925,0.94172,2.10732,0.9426,0.91019,0.96352,0.77723,0.69409,0.43094,2.63176,0.001981,0.001981,0.001981
83,36389,0.78202,0.92034,2.09348,0.94519,0.90993,0.96388,0.77724,0.69341,0.4296,2.63157,0.001882,0.001882,0.001882
84,36823,0.77599,0.91334,2.0819,0.93568,0.91811,0.96411,0.77781,0.6927,0.42836,2.63181,0.001783,0.001783,0.001783
85,37256.8,0.77651,0.913,2.08547,0.93902,0.91783,0.96425,0.77801,0.69211,0.42723,2.63275,0.001684,0.001684,0.001684
86,37690.7,0.77588,0.91105,2.08582,0.94051,0.91757,0.96446,0.77794,0.69154,0.42609,2.63313,0.001585,0.001585,0.001585
87,38123.4,0.77099,0.90303,2.0805,0.94145,0.91656,0.96458,0.7783,0.69086,0.42486,2.6333,0.001486,0.001486,0.001486
88,38557.5,0.76881,0.89325,2.07808,0.94282,0.91193,0.96491,0.77919,0.69016,0.42378,2.63372,0.001387,0.001387,0.001387
89,38989.9,0.76671,0.90615,2.07573,0.94252,0.91337,0.96505,0.78021,0.68951,0.42267,2.63422,0.001288,0.001288,0.001288
90,39424.8,0.76092,0.88689,2.06771,0.93976,0.91163,0.96523,0.78062,0.6888,0.42161,2.63445,0.001189,0.001189,0.001189
91,39894.5,0.50089,0.43314,1.86007,0.93969,0.9129,0.96544,0.78112,0.68791,0.42036,2.63353,0.00109,0.00109,0.00109
92,40327.9,0.48941,0.41246,1.84533,0.93936,0.91673,0.96578,0.78169,0.68677,0.41898,2.63282,0.000991,0.000991,0.000991
93,40762,0.47992,0.40299,1.83562,0.93957,0.91751,0.9662,0.78242,0.68556,0.41762,2.6323,0.000892,0.000892,0.000892
94,41197,0.47683,0.39948,1.82473,0.94046,0.91735,0.96641,0.783,0.68443,0.41616,2.63204,0.000793,0.000793,0.000793
95,41631.3,0.46952,0.39212,1.81946,0.94104,0.91747,0.96664,0.78349,0.6833,0.41466,2.63193,0.000694,0.000694,0.000694
96,42065.9,0.46205,0.38387,1.82736,0.94115,0.9178,0.96694,0.78434,0.68214,0.41309,2.63152,0.000595,0.000595,0.000595
97,42501,0.46162,0.37958,1.81464,0.94113,0.91906,0.96735,0.78472,0.68108,0.4116,2.63154,0.000496,0.000496,0.000496
98,42932.7,0.45429,0.37483,1.81235,0.94143,0.91949,0.96766,0.78535,0.68004,0.41008,2.63143,0.000397,0.000397,0.000397
99,43367.6,0.45214,0.36677,1.79907,0.94099,0.9208,0.96781,0.78532,0.67898,0.40858,2.63126,0.000298,0.000298,0.000298
100,43800,0.44776,0.36754,1.79842,0.93736,0.92102,0.96828,0.78559,0.67799,0.40713,2.63123,0.000199,0.000199,0.000199
